Date,Open,High,Low,Close,Volume,Market Cap
01/05/2021,57714.66,58448.34,57052.27,57828.05,42836427360,1.08117E+12
02/05/2021,57825.86,57902.59,56141.91,56631.08,38177405335,1.05886E+12
03/05/2021,56620.27,58973.31,56590.87,57200.29,51713139031,1.06956E+12
04/05/2021,57214.18,57214.18,53191.43,53333.54,68564706967,9.97324E+11
05/05/2021,53252.16,57911.36,52969.06,57424.01,69241316747,1.07387E+12
06/05/2021,57441.31,58363.31,55382.51,56396.51,69523285106,1.05471E+12
07/05/2021,56413.95,58606.63,55321.85,57356.4,68434023376,1.07273E+12
08/05/2021,57352.77,59464.61,56975.21,58803.78,65382980634,1.09986E+12
09/05/2021,58877.39,59210.88,56482,58232.32,65906690347,1.08924E+12
10/05/2021,58250.87,59519.35,54071.46,55859.8,71776546298,1.04493E+12
11/05/2021,55847.24,56872.54,54608.65,56704.57,61308396325,1.06079E+12
12/05/2021,56714.53,57939.36,49150.53,49150.53,75215403907,9.19528E+11
13/05/2021,49735.43,51330.84,46980.02,49716.19,96721152926,9.30161E+11
14/05/2021,49682.98,51438.12,48868.58,49880.53,55737497453,9.33277E+11
15/05/2021,49855.49,50639.67,46664.14,46760.19,59161047474,8.74931E+11
16/05/2021,46716.64,49720.04,43963.35,46456.06,64047871555,8.69279E+11
17/05/2021,46415.9,46623.56,42207.29,43537.51,74903638450,8.14702E+11
18/05/2021,43488.06,45812.46,42367.83,42909.4,56187365084,8.02974E+11
19/05/2021,42944.98,43546.12,30681.5,37002.44,1.26358E+11,6.92453E+11
20/05/2021,36753.67,42462.98,35050.62,40782.74,88281943359,7.63196E+11
21/05/2021,40596.95,42172.17,33616.45,37304.69,82051616861,6.98109E+11
22/05/2021,37371.03,38831.05,35383.68,37536.63,57377273240,7.02449E+11
23/05/2021,37531.45,38289.22,31227.34,34770.58,78469274361,6.50686E+11
24/05/2021,34700.36,39835.14,34551.08,38705.98,67359584098,7.24332E+11
25/05/2021,38795.78,39776.35,36581.43,38402.22,56211915803,7.18829E+11
26/05/2021,38392.62,40782.08,37905.83,39294.2,51346735160,7.35556E+11
27/05/2021,39316.89,40379.62,37247.9,38436.97,43210968721,7.19538E+11
28/05/2021,38507.08,38856.97,34779.04,35697.61,55200191952,6.68284E+11
29/05/2021,35684.16,37234.5,33693.93,34616.07,45231013335,6.48061E+11
30/05/2021,34607.41,36400.67,33520.74,35678.13,31646080921,6.67977E+11
31/05/2021,35658.59,37468.25,34241.94,37332.85,39009847639,6.9899E+11
01/06/2021,37293.79,37896.74,35787.09,36684.92,34639423297,6.86891E+11
02/06/2021,36699.92,38231.34,35966.31,37575.18,33070867190,7.036E+11
03/06/2021,37599.41,39478.95,37243.97,39208.77,35460750427,7.34224E+11
04/06/2021,39242.49,39242.49,35717.72,36894.41,41831090187,6.90915E+11
05/06/2021,36880.16,37917.71,34900.41,35551.96,35959473399,6.65805E+11
06/06/2021,35538.61,36436.42,35304.58,35862.38,28913440585,6.71653E+11
07/06/2021,35835.27,36790.57,33480.64,33560.71,33683936663,6.28573E+11
08/06/2021,33589.52,34017.39,31114.44,33472.63,49902050442,6.26955E+11
09/06/2021,33416.98,37537.37,32475.87,37345.12,53972919008,6.99516E+11
10/06/2021,37389.52,38334.33,35847.59,36702.6,43576032854,6.87509E+11
11/06/2021,36697.03,37608.69,36044.45,37334.4,38699736985,6.99369E+11
12/06/2021,37340.14,37408.93,34728.19,35552.52,37924228550,6.66018E+11
13/06/2021,35555.79,39322.78,34864.11,39097.86,40669112838,7.32466E+11
14/06/2021,39016.97,40978.36,38757.28,40218.48,43148914673,7.53471E+11
15/06/2021,40427.17,41295.27,39609.47,40406.27,46420149185,7.5703E+11
16/06/2021,40168.69,40516.78,38176.03,38347.06,39211635100,7.18495E+11
17/06/2021,38341.42,39513.67,37439.67,38053.5,37096670047,7.13026E+11
18/06/2021,38099.48,38187.26,35255.85,35787.24,36200887275,6.70589E+11
19/06/2021,35854.53,36457.8,34933.06,35615.87,31207279719,6.67401E+11
20/06/2021,35563.14,36059.48,33432.08,35698.3,36664034054,6.68969E+11
21/06/2021,35641.15,35721.64,31295.94,31676.69,52809038594,5.93628E+11
22/06/2021,31622.38,33292.45,28893.62,32505.66,58964353058,6.09181E+11
23/06/2021,32515.71,34753.41,31772.63,33723.03,46317108925,6.32011E+11
24/06/2021,33682.8,35228.85,32385.21,34662.44,33123368116,6.49644E+11
25/06/2021,34659.1,35487.25,31350.88,31637.78,40230904226,5.92978E+11
26/06/2021,31594.66,32637.59,30184.5,32186.28,38585385521,6.03276E+11
27/06/2021,32287.52,34656.13,32071.76,34649.64,35511640894,6.49462E+11
28/06/2021,34679.12,35219.89,33902.08,34434.34,33892523752,6.45443E+11
29/06/2021,34475.56,36542.11,34252.48,35867.78,37901460044,6.72333E+11
30/06/2021,35908.39,36074.76,34086.15,35040.84,34059036099,6.56853E+11
01/07/2021,35035.98,35035.98,32883.78,33572.12,37838957079,6.29339E+11
02/07/2021,33549.6,33939.59,32770.68,33897.05,38728974942,6.35451E+11
03/07/2021,33854.42,34909.26,33402.7,34668.55,24383958643,6.4994E+11
04/07/2021,34665.56,35937.57,34396.48,35287.78,24924307911,6.61575E+11
05/07/2021,35284.34,35284.34,33213.66,33746,26721554282,6.32696E+11
06/07/2021,33723.51,35038.54,33599.92,34235.19,26501259870,6.41899E+11
07/07/2021,34225.68,34997.66,33839.29,33855.33,24796027477,6.34803E+11
08/07/2021,33889.61,33907.91,32133.18,32877.37,29910396946,6.16493E+11
09/07/2021,32861.67,34042.29,32318.88,33798.01,27436021028,6.33784E+11
10/07/2021,33811.24,34209.07,33116.01,33520.52,22971873468,6.28615E+11
11/07/2021,33509.08,34584.7,33346.74,34240.19,20108729370,6.42138E+11
12/07/2021,34254.02,34592.16,32697.31,33155.85,24321499537,6.21828E+11
13/07/2021,33125.47,33327.1,32261.42,32702.03,19120856669,6.13344E+11
14/07/2021,32723.85,33061.4,31639.12,32822.35,21376531210,6.15635E+11
15/07/2021,32827.87,33159.64,31175.71,31780.73,21300524237,5.96124E+11
16/07/2021,31841.55,32218.41,31100.67,31421.54,23699476918,5.89416E+11
17/07/2021,31397.31,31935.94,31223.99,31533.07,18895018942,5.91536E+11
18/07/2021,31533.88,32399,31215.49,31796.81,18787986667,5.96513E+11
19/07/2021,31800.01,31885.86,30563.74,30817.83,20434789545,5.78178E+11
20/07/2021,30838.29,31006.19,29360.96,29807.35,23148267245,5.59244E+11
21/07/2021,29796.29,32752.33,29526.18,32110.69,28203024559,6.02489E+11
22/07/2021,32138.87,32576.4,31745.3,32313.11,19555230518,6.06317E+11
23/07/2021,32305.96,33581.55,32057.89,33581.55,22552046192,6.30148E+11
24/07/2021,33593.73,34490.39,33424.86,34292.45,21664706865,6.43519E+11
25/07/2021,34290.29,35364.93,33881.84,35350.19,20856685287,6.63402E+11
26/07/2021,35384.03,40499.68,35287.31,37337.53,51022126212,7.00734E+11
27/07/2021,37276.04,39406.94,36441.73,39406.94,35097370560,7.39612E+11
28/07/2021,39503.19,40816.07,38862.44,39995.91,38702404695,7.50707E+11
29/07/2021,39995.45,40593.07,39352.06,40008.42,27167146027,7.50981E+11
30/07/2021,40027.48,42235.55,38397.35,42235.55,33072782960,7.9283E+11
31/07/2021,42196.3,42231.45,41110.83,41626.2,25802845343,7.81431E+11
01/08/2021,41460.84,42541.68,39540.94,39974.9,26688438115,7.50472E+11
02/08/2021,39907.26,40419.18,38746.35,39201.95,25595265436,7.35996E+11
03/08/2021,39178.4,39750.03,37782.05,38152.98,26189830450,7.16342E+11
04/08/2021,38213.33,39952.3,37589.17,39747.51,25372562724,7.46314E+11
05/08/2021,39744.51,41341.93,37458,40869.55,35185031017,7.67423E+11
06/08/2021,40865.87,43271.66,39932.18,42816.5,38226483046,8.04023E+11
07/08/2021,42832.8,44689.86,42618.57,44555.8,40030862141,8.36731E+11
08/08/2021,44574.44,45282.35,43331.91,43798.12,36302664750,8.22545E+11
09/08/2021,43791.93,46456.83,42848.69,46365.4,38734079049,8.70805E+11
10/08/2021,46280.85,46637.99,44705.56,45585.03,33546019517,8.56195E+11
11/08/2021,45599.7,46735.63,45351.71,45593.64,34319709073,8.56399E+11
12/08/2021,45576.88,46228.91,43861.45,44428.29,33723620826,8.34547E+11
13/08/2021,44439.69,47831.98,44282.42,47793.32,31744259539,8.97803E+11
14/08/2021,47810.69,48098.68,46177.63,47096.95,31211354442,8.8477E+11
15/08/2021,47096.67,47357.11,45579.59,47047,30988958446,8.83883E+11
16/08/2021,47019.96,47998.1,45700.32,46004.48,32776876610,8.64346E+11
17/08/2021,45936.46,47139.57,44512.42,44695.36,33451362600,8.39797E+11
18/08/2021,44686.75,45952.06,44364.03,44801.19,32194123075,8.41823E+11
19/08/2021,44741.88,46970.76,43998.32,46717.58,37204312299,8.77876E+11
20/08/2021,46723.12,49342.15,46650.71,49339.18,34706867452,9.2719E+11
21/08/2021,49327.07,49717.02,48312.2,48905.49,40585205312,9.19092E+11
22/08/2021,48869.1,49471.61,48199.94,49321.65,25370975378,9.26962E+11
23/08/2021,49291.68,50482.08,49074.61,49546.15,34305053719,9.31244E+11
24/08/2021,49562.35,49878.77,47687.12,47706.12,35361168834,8.96705E+11
25/08/2021,47727.26,49202.88,47163.61,48960.79,32646349931,9.20338E+11
26/08/2021,49002.64,49347.58,46405.78,46942.22,32666549568,8.82437E+11
27/08/2021,46894.56,49112.79,46394.28,49058.67,34511076995,9.22266E+11
28/08/2021,49072.59,49283.51,48499.24,48902.4,28568103401,9.19373E+11
29/08/2021,48911.25,49644.11,47925.86,48829.83,25889650240,9.18057E+11
30/08/2021,48834.85,48925.61,46950.27,47054.98,31847007016,8.84728E+11
31/08/2021,47024.34,48189.55,46750.09,47166.69,34730363427,8.8687E+11
